111220041.bc,0.460317,0.489362,0.409836,0.416058,0.40411,0.676471,0.398438,0.491228,0.185185,0.537415,1,0.566038,0.542169,0.473282,0.550459,0.434109,0.611111,0.51938,0.277108,0.536765,0.47,0.465839,0.479592,0,0.59375,0.516484,0.589552,0.455128,0.518868,0.348837,0.536424,0.5,0.530769,0.468531,0.520833,0.508982,0.5,0.188406,0.431507,0.683333,0.536082,0.471154,0.468531,0.456311,0.555556
111220042.bc,0.428571,0.531915,0.245902,0.40146,0.40411,0.588235,0.40625,0.421053,0.203704,0.517007,0.576087,1,0.457831,0.496183,0.568807,0.387597,0.555556,0.534884,0.325301,0.551471,0.52,0.403727,0.479592,0,0.5625,0.494505,0.477612,0.461538,0.509434,0.325581,0.503311,0.541667,0.515385,0.524476,0.5,0.51497,0.544643,0.275362,0.383562,0.65,0.494845,0.471154,0.524476,0.466019,0.472222
111220043.bc,0.452381,0.468085,0.360656,0.394161,0.424658,0.602941,0.429688,0.394737,0.148148,0.428571,0.521739,0.433962,1,0.419847,0.504587,0.372093,0.555556,0.426357,0.26506,0.492647,0.5,0.385093,0.489796,0,0.46875,0.549451,0.485075,0.448718,0.528302,0.27907,0.463576,0.527778,0.484615,0.454545,0.489583,0.413174,0.482143,0.26087,0.376712,0.6,0.525773,0.432692,0.454545,0.436893,0.462963
111220044.bc,0.484127,0.531915,0.344262,0.583942,0.527397,0.720588,0.53125,0.526316,0.314815,0.578231,0.554348,0.650943,0.542169,1,0.743119,0.457364,0.688889,0.589147,0.39759,0.742647,0.53,0.571429,0.642857,0,0.578125,0.56044,0.589552,0.519231,0.566038,0.488372,0.622517,0.555556,0.553846,0.608392,0.541667,0.610778,0.589286,0.434783,0.458904,0.633333,0.525773,0.451923,0.608392,0.524272,0.638889
111220047.bc,0.507937,0.574468,0.262295,0.481752,0.452055,0.676471,0.460938,0.491228,0.203704,0.52381,0.532609,0.59434,0.493976,0.610687,1,0.434109,0.611111,0.620155,0.289157,0.720588,0.53,0.47205,0.571429,0,0.523438,0.549451,0.552239,0.5,0.528302,0.348837,0.516556,0.638889,0.523077,0.531469,0.625,0.54491,0.553571,0.318841,0.445205,0.633333,0.536082,0.471154,0.531469,0.436893,0.509259
111220049.bc,0.452381,0.585106,0.196721,0.474453,0.458904,0.720588,0.53125,0.482456,0.259259,0.482993,0.51087,0.575472,0.578313,0.496183,0.568807,1,0.566667,0.565891,0.289157,0.558824,0.57,0.490683,0.581633,0,0.5625,0.571429,0.544776,0.589744,0.54717,0.372093,0.529801,0.611111,0.515385,0.629371,0.5625,0.491018,0.5,0.449275,0.472603,0.766667,0.515464,0.528846,0.629371,0.485437,0.62037
111220050.bc,0.5,0.510638,0.360656,0.510949,0.383562,0.647059,0.429688,0.45614,0.240741,0.469388,0.619565,0.537736,0.566265,0.534351,0.568807,0.418605,1,0.527132,0.313253,0.580882,0.52,0.490683,0.489796,0,0.53125,0.527473,0.544776,0.474359,0.556604,0.372093,0.516556,0.555556,0.476923,0.496503,0.5,0.479042,0.544643,0.333333,0.417808,0.65,0.57732,0.461538,0.496503,0.466019,0.564815
111220054.bc,0.563492,0.56383,0.42623,0.430657,0.493151,0.691176,0.460938,0.54386,0.296296,0.578231,0.554348,0.54717,0.566265,0.526718,0.651376,0.48062,0.633333,1,0.433735,0.632353,0.52,0.490683,0.612245,0,0.578125,0.549451,0.619403,0.519231,0.575472,0.418605,0.509934,0.555556,0.538462,0.524476,0.583333,0.634731,0.553571,0.362319,0.520548,0.666667,0.56701,0.528846,0.524476,0.553398,0.592593
111220056.bc,0.285714,0.265957,0.393443,0.262774,0.232877,0.338235,0.265625,0.245614,0.314815,0.414966,0.315217,0.273585,0.313253,0.343511,0.311927,0.20155,0.344444,0.356589,1,0.375,0.28,0.329193,0.316327,0,0.28125,0.296703,0.30597,0.307692,0.245283,0.418605,0.403974,0.305556,0.269231,0.405594,0.197917,0.449102,0.294643,0.318841,0.280822,0.233333,0.247423,0.211538,0.405594,0.291262,0.287037
111220059.bc,0.52381,0.595745,0.327869,0.474453,0.5,0.691176,0.445312,0.526316,0.37037,0.564626,0.543478,0.632075,0.614458,0.664122,0.816514,0.426357,0.688889,0.658915,0.421687,1,0.52,0.540373,0.581633,0,0.5625,0.56044,0.597015,0.519231,0.59434,0.465116,0.549669,0.611111,0.530769,0.566434,0.53125,0.616766,0.535714,0.376812,0.479452,0.65,0.515464,0.538462,0.566434,0.514563,0.62963
